GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Baden-Wuerttemberg,Mining of coal and lignite  Growth rate of employment - percentage,,,,,,,,,,,
Baden-Wuerttemberg,Extraction of crude petroleum and natural gas  Growth rate of employment - percentage,,,,,,,,,,,
Baden-Wuerttemberg,Mining of metal ores  Growth rate of employment - percentage,,,,,,,,,,,
Baden-Wuerttemberg,Mining support service activities  Growth rate of employment - percentage,,,,,,,,,,,
Baden-Wuerttemberg,Manufacture of tobacco products  Growth rate of employment - percentage,,,,,,,,,,,
Baden-Wuerttemberg,Manufacture of coke and refined petroleum products  Growth rate of employment - percentage,,,,,,,,,,,
Baden-Wuerttemberg,Remediation activities and other waste management services  Growth rate of employment - percentage,,,,,,,,,,,159.2
Baden-Wuerttemberg,"Electricity, gas, steam and air conditioning supply  Growth rate of employment - percentage",,1.2,3,1.5,-12.7,3.5,9.6,4.9,0.3,1.1,48.8
Baden-Wuerttemberg,Retail sale of automotive fuel in specialised stores  Growth rate of employment - percentage,,48.2,4.4,3.5,1.2,19.1,26.9,-1.6,-52.7,32.9,32.7
Baden-Wuerttemberg,Information service activities  Growth rate of employment - percentage,,-73.1,-32.8,24,-7.2,14.3,-13.2,17.2,2,9.7,24.9
Baden-Wuerttemberg,"Retail sale of food, beverages and tobacco in specialised stores  Growth rate of employment - percentage",,15.5,4.4,0.3,1.1,1.5,19.9,-7.6,35.3,0.7,16.4
Baden-Wuerttemberg,Telecommunications  Growth rate of employment - percentage,,-28.1,-16.9,4.2,-0.6,-5.5,-0.4,-5.1,3.4,21.6,16.1
Baden-Wuerttemberg,"Computer programming, consultancy and related activities  Growth rate of employment - percentage",,8.9,3.4,2.4,0,9.2,10.6,4.1,-3.7,9.1,12.3
Baden-Wuerttemberg,"Office administrative, office support and other business support activities  Growth rate of employment - percentage",,9.4,-7.3,24,4.9,2.4,-7.1,6.3,0.1,-1.4,12
Baden-Wuerttemberg,"Waste collection, treatment and disposal activities; materials recovery  Growth rate of employment - percentage",,,,,,,,,,,10.6
Baden-Wuerttemberg,Information and communication  Growth rate of employment - percentage,,-9.7,0,5.8,0.7,5.6,8.8,2.1,-4.1,7.3,10.6
